what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.base,21.0.0.v201210310015-519525,"com.android.ide.eclipse.base",1407177345708
started,bundle,org.eclipse.dltk.core,2.0.1.v20100806-1245,"org.eclipse.dltk.core",1407177345709
started,bundle,org.eclipse.dltk.launching,2.0.0.v20100806-1245,"org.eclipse.dltk.launching",1407177345709
started,bundle,org.eclipse.dltk.ui,2.0.0.v20100909-1720,"org.eclipse.dltk.ui",1407177345711
os,sysinfo,,,"win32",1407177345714
arch,sysinfo,,,"x86",1407177345714
ws,sysinfo,,,"win32",1407177345714
locale,sysinfo,,,"pt_BR",1407177345714
processors,sysinfo,,,"2",1407177345714
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1407177345714
java.runtime.version,sysinfo,,,"1.6.0_30-b12",1407177345714
java.specification.name,sysinfo,,,"Java Platform API Specification",1407177345714
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1407177345714
java.specification.version,sysinfo,,,"1.6",1407177345714
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1407177345714
java.version,sysinfo,,,"1.6.0_30",1407177345714
java.vm.info,sysinfo,,,"mixed mode",1407177345714
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1407177345714
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1407177345714
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1407177345714
java.vm.specification.version,sysinfo,,,"1.0",1407177345714
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1407177345714
java.vm.version,sysinfo,,,"20.5-b03",1407177345714
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20101001-2300,"org.eclipse.php.debug.daemon",1407177345753
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407177345756
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1407177345911
started,bundle,org.eclipse.php.server.core,2.2.0.v20101001-2300,"org.eclipse.php.server.core",1407177345933
started,bundle,org.eclipse.php.core,2.2.1.v20101001-2300,"org.eclipse.php.core",1407177345938
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20101001-2300,"org.eclipse.php.debug.ui",1407177346027
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1407177346042
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1407177346047
started,bundle,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui",1407177346049
started,bundle,org.eclipse.dltk.core.index.sql,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql",1407177346142
started,bundle,org.eclipse.php.debug.core,2.2.0.v20101001-2300,"org.eclipse.php.debug.core",1407177346153
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql.h2",1407177346651
